cooked_food_id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
6404,151,390,0,13,11,0,0,640,8,0
6405,170,480,0,2,17,0,0,640,3.1,0
6406,130,290,0,9,14,0,0,430,2.8,0
6407,250,400,0,10,10,0,0,480,3.6,0
6408,204,445,0,9,25,0,0,680,12,0
6409,123,290,0,3,13,0,0,510,5,0
6410,128,305,0,16,6,0,0,310,2.9,0
6411,129,295,0,12,10,0,0,360,2.9,0
6412,216,300,0,13,8,0,0,430,3.7,0
6413,208,450,0,9,19,0,0,730,14,0
6414,135,355,0,7,14,0,0,740,7,0
6415,122,285,0,6,10,0,0,520,6,0
6416,193,295,0,4,12,0,0,700,20,0
6417,243,653,0,52,16,0,0,810,12,0
6418,249,595,0,13,31,0,0,1230,11,0
6419,216,520,0,14,18,0,0,1180,10,0
6420,233,545,0,4,16,0,0,860,6,0
6421,176,400,0,4,21,0,0,970,4,0
6422,84,240,0,1,11,0,0,340,4.7,0
6423,180,375,0,12,12,0,0,500,4.3,0
6424,101,320,0,5,13,0,0,630,8,0
6425,270,500,0,5,19,0,0,790,8,0
6426,30,185,0,0.7,0.7,0,0,130,3.2,0
6427,215,435,0,11,21,0,0,880,3.6,0
6428,145,370,0,8,14,0,0,870,8,0
6429,237,660,0,22,20,0,0,1470,11,0
6430,226,510,0,2,17,0,0,880,4.3,0
6431,300,610,0,14,23,0,0,1220,7,0
6432,289,265,0,15,9,0,0,490,3.8,0
6433,224,485,0,12,17,0,0,850,7,0
6434,282,625,0,21,25,0,0,910,11,0
6435,252,475,0,8,12,0,0,780,6,0
6436,229,530,0,7,11,0,0,760,6,0
6437,248,385,0,7,15,0,0,670,3.4,0
6438,330,735,0,13,23,0,0,1120,10,0
6439,160,330,0,12,11,0,0,560,4.5,0
6440,228,455,0,12,19,0,0,810,7,0
6441,114,270,0,6,12,0,0,500,8,0
6442,214,450,0,9,21,0,0,1100,8,0
6443,292,745,0,9,23,0,0,1340,14,0
6444,285,700,0,19,24,0,0,1700,8,0
6445,220,575,0,24,17,0,0,1170,8,0
6446,140,400,0,3,18,0,0,800,9,0
6447,149,280,0,0.7,16,0,0,800,3,0
6448,123,280,0,4,12,0,0,500,4.7,0
6449,183,550,0,18,23,0,0,960,10,0
6450,206,325,0,6,21,0,0,520,5,0
6451,264,390,0,23,6,0,0,340,5,0
6452,210,445,0,0,33,0,0,820,7,0
6453,168,370,0,5,9,0,0,540,6,0
6454,124,210,0,2,9,0,0,630,4,0
6455,287,380,0,15,7,0,0,390,6,0
6456,294,545,0,12,18,0,0,790,10,0
6457,313,405,0,17,13,0,0,870,3.7,0
6458,260,380,0,10,12,0,0,690,7,0
6459,246,225,0,13,8,0,0,420,5,0
6460,294,470,0,2,18,0,0,680,9,0
6461,150,75,0,11,1,0,0,15,0,0
6462,130,135,0,7,3,0,0,200,0,0
6463,130,75,0,10,1,0,0,130,0,0
