id,food_code,food_name,country_origin,manufacturer,category_main,category_sub,food_image,allergy_info,storage_info,harvest_time
88,R000088-ZZ-AVG,"멥쌀, 현미, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
89,R000089-ZZ-AVG,"멥쌀, 현미, 고아미2호, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
90,R000090-ZZ-AVG,"멥쌀, 현미, 골든퀸3호, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
91,R000091-ZZ-AVG,"멥쌀, 현미, 금강1호, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
92,R000092-ZZ-AVG,"멥쌀, 현미, 남찬, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
93,R000093-ZZ-AVG,"멥쌀, 현미, 농림나1호, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
94,R000094-ZZ-AVG,"멥쌀, 현미, 도담쌀, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
95,R000095-ZZ-AVG,"멥쌀, 현미, 미품, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
96,R000096-ZZ-AVG,"멥쌀, 현미, 보람찬, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
97,R000097-ZZ-AVG,"멥쌀, 현미, 삼광, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
98,R000098-ZZ-AVG,"멥쌀, 현미, 새일미, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
99,R000099-ZZ-AVG,"멥쌀, 현미, 설갱, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
100,R000100-ZZ-AVG,"멥쌀, 현미, 신동진, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
101,R000101-ZZ-AVG,"멥쌀, 현미, 알찬미, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
102,R000102-ZZ-AVG,"멥쌀, 현미, 영호진미, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
103,R000103-ZZ-AVG,"멥쌀, 현미, 예찬, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
104,R000104-ZZ-AVG,"멥쌀, 현미, 오대, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
