fresh_food_id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
59,100,354 ,77.21,0.04,5.91,0.73,0,0,0.25,0
60,100,364 ,80.0,0,6.5,0.3,0,3,0,0
61,100,331,74.5,-0.3,9.3,0.9,0,1,-0.29,0
62,100,146 ,31.71,0.01,2.65,0.33,0,0,0.12,0
63,100,213 ,48.5,0,2.2,0.1,0,2,0,0
64,100,157,36.1,-0.1,3.5,0.3,0,1,-0.1,0
65,100,146 ,31.71,0,2.52,0.33,0,0,0.10,0
66,100,142 ,30.69,0,2.67,0.25,0,0,0.10,0
67,100,153 ,33.8,0,2.5,0.1,0,7,0,0
68,100,159 ,35.7,0,2.4,0,0,4,0,0
69,100,147 ,32.17,0,2.53,0.28,0,0,0.12,0
70,100,151 ,32.28,0.04,2.85,0.44,0,0,0.15,0
71,100,156 ,34.6,0,2.6,0.1,0,5,0,0
72,100,151 ,33.7,0,2.4,0,0,5,0,0
73,100,53 ,11.45,0,0.99,0.15,0,0,0.05,0
74,100,53 ,11.51,0,0.89,0.10,0,0,0.04,0
75,100,55 ,11.72,0,1.09,0.17,0,0,0.05,0
76,100,53 ,11.42,0,0.96,0.15,0,0,0.06,0
77,100,52 ,11.16,0,1.02,0.18,0,0,0.06,0
78,100,19,-4.7,0,-0.3,0,0,0,0,0
79,100,343,78.5,0.1,6.2,0.9,0,2,-0.29,0
80,100,348,76.6,0.3,6.3,1.5,0,1,-0.4,0
81,100,370 ,79.2,0,5.6,1.9,0,9,0,0
82,100,359,73.4,-0.3,9.5,1.5,0,1,-0.4,0
83,100,160,36.7,0.2,2.6,0.5,0,1,-0.13,0
84,100,205 ,46.2,0,2.5,0.2,0,2,0,0
85,100,155,35.7,-0.2,3.6,0.5,0,1,-0.13,0
86,100,68,-15.6,-0.1,-1.1,-0.2,0,0,-0.05,0
87,100,20,-4.6,0,-0.3,-0.1,0,0,-0.03,0
88,100,357 ,75.92,1.18,7.33,2.23,0,3,0.55,0
89,100,359 ,71.00,3.17,9.17,4.11,0,3,1.13,0.01
90,100,357 ,77.26,0.50,6.16,2.01,0,1,0.48,0
91,100,365 ,77.11,0.57,7.08,2.72,0,2,0.70,0
92,100,355 ,75.26,0.89,7.25,2.31,0,5,0.51,0
93,100,371 ,75.3,0,5.8,4.8,0,1,0,0
94,100,356 ,74.15,1.26,7.73,2.85,0,2,0.70,0.01
95,100,348 ,73.30,0.83,8.41,2.07,0,5,0.51,0.01
96,100,355 ,75.74,1.07,7.42,2.01,0,5,0.57,0
97,100,358 ,76.98,0.92,6.88,2.00,0,2,0.51,0.01
98,100,357 ,76.00,1.00,7.60,2.12,0,1,0.52,0
99,100,356 ,75.36,1.30,7.53,2.34,0,2,0.56,0
100,100,350 ,75.24,0.76,6.69,1.98,0,1,0.51,0
101,100,365 ,78.09,1.41,6.91,2.34,0,5,0.59,0
102,100,363 ,78.10,1.28,6.21,2.32,0,4,0.58,0
103,100,356 ,75.25,1.81,7.23,2.47,0,6,0.60,0
104,100,363 ,76.53,1.27,8.07,2.31,0,0,0.57,0.01
105,100,355 ,75.94,1.12,6.52,2.28,0,1,0.52,0.01
106,100,354 ,76.2,0,9.0,1.0,0,12,0,0
107,100,357 ,76.37,1.13,7.00,2.18,0,2,0.52,0
108,100,363 ,77.8,0,7.4,2.0,0,24,0,0
109,100,362 ,76.9,0,6.4,2.7,0,14,0,0
110,100,353 ,75.80,1.57,6.97,1.98,0,8,0.50,0
111,100,371 ,77.9,0,7.3,3.0,0,23,0,0
112,100,362 ,77.2,0,8.9,1.6,0,2,0,0
113,100,358 ,73.74,0.47,9.12,2.65,0,1,0.59,0
114,100,360 ,75.73,1.15,7.41,2.60,0,1,0.65,0
115,100,361 ,76.38,2.15,7.92,2.20,0,3,0.56,0
116,100,363 ,77.23,1.53,7.56,2.20,0,6,0.61,0
117,100,366 ,77.58,1.68,7.42,2.44,0,4,0.61,0
118,100,356 ,74.99,1.24,8.06,2.34,0,2,0.59,0.01
119,100,349 ,73.53,0.86,8.71,1.88,0,8,0.45,0.01
120,100,343 ,73.94,0.33,6.30,1.94,0,1,0.47,0
121,100,371 ,79.4,0,7.0,2.3,0,3,0,0
122,100,360 ,76.01,1.81,7.47,2.48,0,2,0.47,0.01
123,100,357 ,75.56,0.94,7.70,2.21,0,2,0.50,0
124,100,357 ,75.82,1.22,7.82,2.11,0,0,0.50,0
125,100,369 ,77.7,0,7.9,2.6,0,2,0,0
126,100,166 ,35.34,0.40,3.47,0.96,0,0,0.24,0
127,100,201 ,46.1,0,2.8,0.2,0,2,0,0
128,100,156,34.3,-1.1,4.1,1,0,1,-0.23,0
