NO,1회제공량(g),에너지(㎉),탄수화물(g),당류(g),단백질(g),지방(g),콜레스테롤(㎎),나트륨(㎎),포화 지방산(g),트랜스 지방산(g)
id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
6317,67,240,-,16,3,-,-,90,8,-
6318,62,245,-,14,3,-,-,90,8,-
6319,78,180,-,12,3,-,-,50,6,-
6320,77,180,-,11,3,-,-,45,6,-
6321,73,165,-,11,3,-,-,45,6,-
6322,73,385,-,14,2,-,-,65,5,-
6323,65,250,-,13,3,-,-,105,8,-
6324,56,225,-,12,2,-,-,75,8,-
6325,71,205,-,15,3,-,-,80,8,-
6326,76,295,-,17,4,-,-,60,12,-
6327,69,145,-,8,2,-,-,60,5,-
6328,74,225,-,15,3,-,-,130,10,-
6329,100,330,-,23,6,-,-,195,7,-
6330,54,225,-,14,2,-,-,45,8,-
6331,70,190,-,12,4,-,-,150,7,-
6332,72,215,-,9,4,-,-,25,6,-
6333,72,270,-,12,3,-,-,115,12,-
6334,79,250,-,15,4,-,-,90,10,-
6335,77,230,-,15,3,-,-,65,9,-
6336,62,245,-,13,3,-,-,100,8,-
6337,64,250,-,16,6,-,-,120,7,-
6338,66,240,-,12,3,-,-,90,8,-
6339,77,195,-,17,3,-,-,75,1.7,-
6340,60,230,-,14,2,-,-,80,8,-
6341,66,275,-,15,6,-,-,65,4.4,-
6342,67,185,-,14,2,-,-,70,4.9,-
6343,70,195,-,13,3,-,-,65,7,-
6344,75,215,-,16,3,-,-,75,7,-
6345,73,205,-,15,3,-,-,100,6,-
6346,78,165,-,10,4,-,-,140,6,-
6347,72,195,-,13,3,-,-,65,6,-
6348,73,190,-,14,3,-,-,70,5,-
6349,70,220,-,15,4,-,-,75,7,-
6350,71,240,-,23,4,-,-,95,4.8,-
6351,61,235,-,14,2,-,-,75,8,-
6352,47,225,-,15,2,-,-,65,8,-
6353,66,250,-,15,3,-,-,95,8,-
6354,68,265,-,14,3,-,-,90,8,-
6355,56,285,-,14,3,-,-,80,8,-
6356,69,225,-,14,3,-,-,115,6,-
6357,72,195,-,12,3,-,-,65,7,-
6358,72,190,-,14,3,-,-,65,6,-
6359,70,195,-,12,3,-,-,65,6,-
6360,70,200,-,13,3,-,-,70,6,-
6361,59,225,-,16,3,-,-,100,7,-
6362,55,265,-,4,4,-,-,95,8,-
6363,73,245,-,17,3,-,-,655,7,-
6364,60,225,-,17,3,-,-,75,8,-
6365,71,260,-,17,4,-,-,130,7,-
6366,70,275,-,18,4,-,-,120,8,-
6367,60,240,-,13,3,-,-,105,8,-
6368,85,235,-,18,3,-,-,90,7,-
6369,115,315,-,30,4,-,-,75,8,-
6370,77,210,-,14,5,-,-,210,8,-
6371,85,265,-,16,4,-,-,170,11,-
6372,73,220,-,8,4,-,-,25,7,-
6373,59,240,-,13,3,-,-,80,8,-
6374,56,230,-,13,3,-,-,75,8,-
6375,61,255,-,16,3,-,-,80,8,-
6376,60,245,-,13,3,-,-,85,8,-
