NO,1회제공량(g),에너지(㎉),탄수화물(g),당류(g),단백질(g),지방(g),콜레스테롤(㎎),나트륨(㎎),포화 지방산(g),트랜스 지방산(g)
id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
4159,30,39.6,6.3,3.24,0.77,1.26,0,26.1,0,0
4160,30,48.21,5.14,0,0,2.89,0,36.96,0.32,0
4161,30,46.29,5.14,0,0.64,2.57,0,57.86,0.64,0
4162,30,43.07,5.79,0,0.64,1.93,0,57.86,0.48,0
4163,30,46.29,5.14,0.9,0.64,2.57,0,96.43,0.64,0
4164,30,45,5,0,0.67,2.5,0,55,0.33,0
4165,30,46.29,5.14,0.96,0.64,2.57,0,96.43,0.64,0
4166,30,49.82,5.14,0,0.64,2.89,0,36.96,0.32,0
4167,30,48.21,5.14,0.32,0.64,2.89,0,45,0.32,0
4168,10,4.55,1.09,0.75,0,0,0,0.91,0,0
4169,10,4.55,1.09,0.75,0,0,0,0.91,0,0
4170,10,3.57,0.86,0.75,0,0,0,0.71,0,0
4171,10,4.55,1.09,0.75,0,0,0,0.91,0,0
4172,10,4.55,1.09,0.75,0,0,0,0.91,0,0
4173,10,4.55,1.09,0.75,0,0,0,0.91,0,0
4174,10,4.55,1.09,0.75,0,0,0,0.91,0,0
4175,30,47,6,2.4,0.4,2.4,6,16,1.4,0.1
4176,30,40.18,4.5,1.93,0.32,2.25,6.43,22.5,1.29,0
4177,30,41.79,4.5,1.93,0.64,2.25,6.43,22.5,1.29,0
4178,30,39.78,6.57,0.58,0.49,1.22,0,15.3,0.42,0
4179,30,39.78,6.57,0.58,0.49,1.22,0,15.3,0.42,0
4180,30,34.47,7.33,0.64,0.76,0.23,0,0.23,0.05,0
4181,30,40.5,6.9,5.4,0.6,1.2,0,6,0.6,0
4182,30,36,6.75,3.15,0.45,0.9,0,36,0.68,0
4183,30,48.48,5.52,1.68,0.44,2.73,0,63.58,0.93,0
4184,30,45,5.94,1.26,1.26,1.8,1.8,12.6,0.59,0
4185,30,45,5.94,1.26,1.26,1.8,1.8,12.6,0.59,0
4186,30,45,5.94,1.26,1.26,1.8,1.8,12.6,0.59,0
4187,30,41.79,5.14,1.93,0.32,2.25,6.43,25.71,1.61,0
4188,30,46.29,4.18,0.9,1.61,2.57,0,25.07,0.96,0
